Key,Description,Standard,ES
SAY.Flowchart.3.Heathcliff,,And… Time!,Y… ¡tiempo!
SAY.Flowchart.5.Heathcliff,,Four minutes and a half…. Not bad.,"Cuatro minutos y medio… Nada mal, loco."
SAY.Flowchart.9.Heathcliff,,"Uhh, y’alright mate?","Ehh, ¿estás bien?"
SAY.Flowchart.7.Yi Sang,,Yes… If I may… Haaah…,Sí… De ser posible… Haaah…
SAY.Flowchart.15.Yi Sang,,Have but a moment… Of respite…,Tan solo… me gustaría tener … un pequeño descanso…
SAY.Flowchart.14.Heathcliff,,Sure. I’ll fetch some water.,"Ah dale, voy por un poco de agua."
SAY.Flowchart.10.Narrator,,"Every day, Heathcliff and I come to this field to practice.","Todos los días, Heathcliff y yo venimos a este campo a entrenar."
SAY.Flowchart.11.Narrator,,"I’m not sure how this arrangement came to be, But it's been nice getting to spend time with a dear companion.","No estoy seguro cómo se llegó a este acuerdo, pero ha sido y es un placer pasar tiempo con un estimado compañero."
SAY.Flowchart.12.Narrator,,"He might come off as a bit tough sometimes, but deep down, he really cares. His support has been incredibly important in my training journey, and I truly appreciate his efforts.","Puede que parezca algo brusco en ocasiones pero, en el fondo, él realmente se preocupa por otros. Su apoyo ha sido de suma importancia en el transcurso de mi entrenamiento, y realmente aprecio su esfuerzo."
SAY.Flowchart.6.Heathcliff,,Yi Sang!,¡Yi Sang!
SAY.Flowchart.17.Narrator,,If only I could achieve the results I desired... I wouldn't want to trouble him with this any longer.,Si tan solo pudiera lograr los resultados que deseo… No quisiera seguir molestándolo con esto por más tiempo.
SAY.Flowchart.87.Heathcliff,,"Oi, you still with us, Eyebags?","Che, ¿seguís vivo, Ojerón?"
SAY.Flowchart.19.Yi Sang,,...,...
SAY.Flowchart.20.Heathcliff,,OI! I’ll whack ya!,¡Che! ¡Te voy a dar una piña!
SAY.Flowchart.13.Narrator,,Heathcliff's loud call snapped me out of my trance. I barely had time to react before he handed me a bottle of water.,El ruidoso llamado de Heathcliff me sacó de mi trance. Por poco no tuve tiempo a reaccionar cuando me entregó una botella de agua.
SAY.Flowchart.18.Heathcliff,,"Take it, straight out the cooler for ya.","Tomá, recién sacado del refri para vos."
SAY.Flowchart.22.Yi Sang,,Thank you…,Gracias…
