Key,Description,Standard,ES
CHARACTER.Demian,,Demian,Demian
CHARACTER.Yi Sang,,Yi Sang,Yi Sang
CHARACTER.Gregor,,Gregor,Gregor
CHARACTER.Faust,,Faust,Faust
CHARACTER.Ideal,,Ideal,Ideal
CHARACTER.Narrator,,Narrator,Narrator
CHARACTER.Heathcliff,,Heathcliff,Heathcliff
CHARACTER.Dante,,Dante,Dante
CHARACTER.John,,John,John
CHARACTER.Don Quixote,,Don Quixote,Don Quixote
SAY.GP3.9.Ideal,,"By tomorrow’s dawn, the rest of them-","Para mañana al amanecer, el resto de ellos-"
SAY.GP3.8.Dante,,<I guess you’re right…>,<Supongo que tienes razón…>
SAY.GP3.7.Dante,,<O-one more chance! That’s all I ask!>,<¡U-un intento más! ¡Eso es todo lo que pido!>
SAY.GP3.138.Dante,,"<You won, Ideal.>","<Ganaste, Ideal>"
SAY.GP3.5.Narrator,,Yi Sang... did we fail you?,Yi Sang... ¿Acaso te fallamos?
SAY.GP3.4.Narrator,,I look at my exhausted horses.,Veo a mis exhaustos caballos.
SAY.GP3.3.Narrator,,No… This can’t be the end.,No… Este no puede ser el fin.
SAY.GP3.2.Ideal,,"It will be in vain. Repeat it as many times as you desire, but the result will remain the same.","Será en vano. Puedes repetirlo tantas veces como quieras, pero el resultado seguirá siendo el mismo."
SAY.GP3.1.Ideal,,"As I previously stated, you have no chance against me.
","Tal y como fue afirmado previamente, no tienes oportunidad contra mí."
SAY.GP3.22.Narrator,,"I wish I could wink right now, I wish they could understand.","Quisiera poder guiñarles el ojo en este momento, quisiera que me pudieran entender."
SAY.GP3.14.Dante,,<What do you mean?>,<¿A qué te refieres?>
SAY.GP3.13.Ideal,,No force on Earth shall stop our winning streak.,No hay fuerza en esta tierra capaz de parar nuestra racha ganadora.
SAY.GP3.12.Don Quixote,,MANAGER ESQUIRE! THOU MUST NOT ALLOW THIS FOUL DEMON IN OUR HERD!!!,¡ILUSTRÍSIMO GERENTE! ¡NO DEBÉIS PERMITIR QUE ESTE ABYECTO DEMONIO MANCILLE NUESTRO HATO!
SAY.GP3.11.Heathcliff,,WHAT?! ARE YOU NUTS?!,"¿¡QUÉ!? ¿¡FLACO, ESTAS EN PEDO!?"
SAY.GP3.10.Dante,,"<Of course, we can’t go to any tournament without proper training.>","<Por supuesto, no podemos ir a ninguna competencia sin pasar primero por el entrenamiento adecuado.>"
SAY.GP3.137.Narrator,,I hear the voices of disapproval of my horses behind me.,Escucho las palabras de desaprobación de los caballos detrás de mí.
