Key,Description,Standard
CHARACTER.Demian,,Demian
CHARACTER.Yi Sang,,Yi Sang
CHARACTER.Gregor,,Gregor
CHARACTER.Faust,,Faust
CHARACTER.Ideal,,Ideal
CHARACTER.Narrator,,Narrator
CHARACTER.Heathcliff,,Heathcliff
CHARACTER.Dante,,Dante
CHARACTER.John,,John
CHARACTER.Don Quixote,,Don Quixote
SAY.GP3.9.Ideal,,"By tomorrow’s dawn, the rest of them-"
SAY.GP3.8.Dante,,<I guess you’re right…>
SAY.GP3.7.Dante,,<O-one more chance! That’s all I ask!>
SAY.GP3.138.Dante,,"<You won, Ideal.>"
SAY.GP3.5.Narrator,,Yi Sang... did we fail you?
SAY.GP3.4.Narrator,,I look at my exhausted horses.
SAY.GP3.3.Narrator,,No… This can’t be the end.
SAY.GP3.2.Ideal,,"It will be in vain. Repeat it as many times as you desire, but the result will remain the same."
SAY.GP3.1.Ideal,,"As I previously stated, you have no chance against me."
SAY.GP3.22.Narrator,,"I wish I could wink right now, I wish they could understand."
SAY.GP3.14.Dante,,<What do you mean?>
SAY.GP3.13.Ideal,,No force on Earth shall stop our winning streak.
SAY.GP3.12.Don Quixote,,MANAGER ESQUIRE! THOU MUST NOT ALLOW THIS FOUL DEMON IN OUR HERD!!!
SAY.GP3.11.Heathcliff,,WHAT?! ARE YOU NUTS?!
SAY.GP3.10.Dante,,"<Of course, we can’t go to any tournament without proper training.>"
SAY.GP3.137.Narrator,,I hear the voices of disapproval of my horses behind me.
SAY.GP3.21.Narrator,,"I turn around to give one last glance at the last unidealized horses, who in return, look at me with a mix of anger and disappointment in their eyes."
SAY.GP3.136.Ideal,,"I am the Ideal, Dante."
SAY.GP3.135.Narrator,,"No matter how much we tried, we were no rivals for him."
SAY.GP3.139.Narrator,,"I sigh in despair, but a sudden idea sparks in my mind."
SAY.GP3.164.Narrator,,"In a quick movement, I push Ideal inside and close the door, starting the simulation."
SAY.GP3.163.Narrator,,I open the door to the Mirror Track.
SAY.GP3.162.Dante,,<Get in.>
SAY.GP3.161.Ideal,,That is not the “getting ready” I was referring to. I am already in my most ideal form.
SAY.GP3.160.Dante,,<I said get in!>
SAY.GP3.158.Narrator,,But it’s too late to complain now.
SAY.GP3.157.Narrator,,Ideal frowns. It seems he’s starting to notice what I’m trying to do.
SAY.GP3.156.Dante,,"<For an “ideal” horse, I expected you to be aware of the rules around here.>"
SAY.GP3.155.Dante,,<Every horse in this stable is required to train properly before a race. No exceptions.>
SAY.GP3.154.Ideal,,Shall we get ready for the next race?
SAY.GP3.153.Dante,,<This is where you’re wrong.>
SAY.GP3.152.Dante,,<... Will be idealized.>
SAY.GP3.151.Ideal,,"I reiterate, there’s no such need-"
SAY.GP3.150.Ideal,,"So, dear manager."
SAY.GP3.149.Ideal,,Correct.
SAY.GP3.148.Ideal,,I believe I have made myself clear when I announced no horse but me would be required in this stable.
SAY.GP3.147.Ideal,,No… My winning streak.
SAY.GP3.146.Narrator,,"But I have a plan, I need them to trust in me."
SAY.GP3.145.Dante,,"<I must honor my word. As the manager, I officially welcome you to the Limbus Stable, Ideal.>"
SAY.GP3.144.Narrator,,A sinister smile on Ideal’s face sends shivers down my spine.
SAY.GP3.188.Ideal,,"I WILL WIN HERE AND ANYWHERE, OVER AND OVER AGAIN."
SAY.GP3.187.Ideal,,DON’T MAKE ME LAUGH!
SAY.GP3.186.Ideal,,HAHAHAHAHA!
SAY.GP3.185.Ideal,,You think this miserable excuse of a horse can do anything against an Ideal Champion?
SAY.GP3.184.Ideal,,"You’ve really run out of options, Dante."
SAY.GP3.183.Ideal,,Again…
SAY.GP3.182.Ideal,,I never thought… I’d end up here…
SAY.GP3.181.Ideal,,Haaah… haha…
SAY.GP3.180.Narrator,,"I try to reach him, but my words fall silent in the Mirror Track."
SAY.GP3.179.Dante,,<Only you can stop Ideal now!>
SAY.GP3.178.Dante,,"<I need you to run, run as fast as you can.>"
SAY.GP3.177.Dante,,<YI SANG! YOU’RE STILL THERE!>
SAY.GP3.176.Narrator,,"One of them catches my attention. A horse is curled up in a corner, covering his head."
SAY.GP3.175.Dante,,<Yi Sang…>
SAY.GP3.174.Narrator,,I hear a laugh from inside the simulation.
SAY.GP3.173.Narrator,,"Yi Sang’s ghosts are still there, stumbling around like zombies."
SAY.GP3.172.Narrator,,"The simulation loads slowly, still as broken as the last time we used it."
