Key,Description,Standard,ES
CHARACTER.Demian,,Demian,Demian
CHARACTER.Yi Sang,,Yi Sang,Yi Sang
CHARACTER.Ideal,,Ideal,Ideal
CHARACTER.Narrator,,Narrator,Narrator
CHARACTER.Heathcliff,,Heathcliff,Heathcliff
CHARACTER.Faust,,Faust,Faust
CHARACTER.Dante,,Dante,Dante
CHARACTER.Gregor,,Gregor,Gregor
SAY.Ideal3.158.Narrator,,"I immediately turn around and try to reach the corridor, but someone grabs my wrist to stop me from leaving.","Me doy la vuelta inmediatamente e intento llegar al pasillo, pero alguien me agarra la muñeca para impedirme salir."
SAY.Ideal3.163.Narrator,,To save Yi Sang.,Para salvar a Yi Sang.
SAY.Ideal3.162.Narrator,,"No, to save everyone.","No, para salvar a todos."
SAY.Ideal3.83.Ideal,,The Ideal Mirror Prix shall begin.,El Prix del Espejo Ideal ha de comenzar.
SAY.Ideal3.82.Narrator,,"I don’t know how many horses are left unidealized or who they are, but I know that no matter what happens or how strong our rivals are, my horses will never let me down.","Todavía no sé cuantos caballos han sido idealizados o quienes lo están, pero sé que sin importar que pase o que tan fuerte sean nuestros oponentes, mis caballos nunca me defraudarán."
SAY.Ideal3.161.Narrator,,We can do this.,Podemos lograrlo.
SAY.Ideal3.79.Narrator,,"All or nothing, I don’t see any other way out right now.",Es todo o nada. No veo de otra.
SAY.Ideal3.78.Dante,,<No matter how many races we win. We can’t leave Yi Sang behind.>,<No importa cuantas carreras ganemos. No podemos dejar a Yi Sang atrás.>
SAY.Ideal3.77.Ideal,,Is that so...,
SAY.Ideal3.76.Narrator,,The man in front of me frowns irritated.,"La persona frente a mí frunce el ceño, irritado."
SAY.Ideal3.75.Ideal,,I propose a deal.,Te propongo un trato.
SAY.Ideal3.74.Ideal,,One last race. An “Ideal Mirror Prix” if you will.,"Una última carrera. Un ""Prix del Espejo Ideal"", por así decirlo."
SAY.Ideal3.73.Ideal,,Confront your bad apples against me and allow me to prove to you how useless their attempts are.,Has competir tus manzanas podridas contra mí y permíteme mostrarte que tan inútiles son sus esfuerzos.
SAY.Ideal3.72.Ideal,,How useless this stable is without its Ideal Champion.,Que tan inútil es tu establo sin su Campeón ideal.
SAY.Ideal3.71.Dante,,<Will Yi Sang come back if we defeat you?>,<¿Yi Sang volverá si te derrotamos?>
SAY.Ideal3.70.Ideal,,"The odds are against you, dear manager, but if luck decides to be on your side, then so be it.","Las probabilidades están en tu contra, querido gerente, pero si la suerte decide estar de tu lado, así será."
